"","Total land area affected by fire ( 1 000 ha )","Total land area affected by fire ( 1 000 ha )","Total land area affected by fire ( 1 000 ha )","Total land area affected by fire ( 1 000 ha )","Total land area affected by fire ( 1 000 ha )","Total land area affected by fire ( 1 000 ha )","Total land area affected by fire ( 1 000 ha )","Total land area affected by fire ( 1 000 ha )","Total land area affected by fire ( 1 000 ha )","Total land area affected by fire ( 1 000 ha )","Total land area affected by fire ( 1 000 ha )","Total land area affected by fire ( 1 000 ha )","Total land area affected by fire ( 1 000 ha )","Total land area affected by fire ( 1 000 ha )","Total land area affected by fire ( 1 000 ha )","Total land area affected by fire ( 1 000 ha )","Total land area affected by fire ( 1 000 ha )","Total land area affected by fire ( 1 000 ha )","…of which on forest ( 1 000 ha )","…of which on forest ( 1 000 ha )","…of which on forest ( 1 000 ha )","…of which on forest ( 1 000 ha )","…of which on forest ( 1 000 ha )","…of which on forest ( 1 000 ha )","…of which on forest ( 1 000 ha )","…of which on forest ( 1 000 ha )","…of which on forest ( 1 000 ha )","…of which on forest ( 1 000 ha )","…of which on forest ( 1 000 ha )","…of which on forest ( 1 000 ha )","…of which on forest ( 1 000 ha )","…of which on forest ( 1 000 ha )","…of which on forest ( 1 000 ha )","…of which on forest ( 1 000 ha )","…of which on forest ( 1 000 ha )","…of which on forest ( 1 000 ha )"
"","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Australia","","","","","","","","","","","","","","","","","","","","","","","","","11279.77","8272.88","7309.50","10275.82","3221.23","26075.96","26682.46","15179.94","20946.27","14774.38","",""
"Canada","665.33","626.42","2770.41","1743.44","3183.81","1671.52","2250.82","1542.20","1712.06","775.03","3052.47","2428.80","2003.27","4210.14","4563.33","3861.65","1416.05","3371.83","665.33","626.42","2770.41","1743.44","3183.81","1671.52","2250.82","1542.20","1712.06","775.03","3052.47","2428.80","2003.27","4210.14","4563.33","3861.65","1416.05","3371.83"
"Russian Federation","1967.70","1411.30","2129.60","3340.60","680.30","1145.90","2450.20","1620.30","2534.80","2592.60","2453.40","1673.80","2372.30","1400.10","3682.70","2969.80","2873.90","4551.70","1328.60","896.80","1369.50","2122.80","543.30","845.30","1493.50","1036.10","2069.80","2111.60","2027.80","1408.40","2101.20","1157.10","3190.70","2748.90","2508.30","3282.10"
"Brazil","5939.67","13942.58","51062.69","49212.67","51116.52","54730.95","30993.82","62726.67","34586.36","23696.23","59262.72","27474.90","49153.43","25663.15","43140.62","73017.07","64913.19","71739.79","3929.90","7048.07","30541.69","31068.75","27999.57","31696.23","16667.54","36023.44","14959.58","8857.41","27417.73","11133.62","23859.54","10636.04","18089.35","32998.07","26605.07","29609.36"
"United States of America","2992.15","1445.15","2907.65","1602.95","3277.21","3516.60","3995.90","3775.06","2141.86","2396.55","1385.18","3525.49","3774.33","1748.12","1455.14","4097.65","2229.89","4057.56","2992.15","1445.15","2907.65","1602.95","3277.21","3516.60","3995.90","3775.06","2141.86","2396.55","1385.18","3525.49","3774.33","1748.12","1455.14","4097.65","2229.89","4057.56"
"Indonesia","","","","","","","","","","","","","","","","2611.41","438.36","165.48","3.01","14.33","35.49","3.54","3.34","5.50","4.24","6.97","6.79","3.86","3.49","2.61","8.26","4.76","44.54","","",""
"Spain","188.59","93.30","107.46","148.17","134.19","188.70","155.34","86.12","50.32","120.09","54.77","102.16","218.96","61.69","48.72","109.78","65.85","178.23","46.14","19.36","25.20","53.67","51.73","69.40","71.06","29.41","8.44","40.40","10.18","18.85","83.06","17.70","8.28","32.88","23.05","66.84"
"Greece","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"China","169.45","192.53","131.82","1123.75","344.21","290.63","562.30","125.13","184.50","213.64","116.24","63.42","43.17","42.89","55.34","33.08","18.16","44.43","90.12","46.18","47.63","451.02","142.24","73.70","408.26","29.29","52.54","46.16","45.80","26.95","13.95","13.72","19.11","12.94","6.22","24.50"
"Mexico","235.92","136.88","208.30","322.45","81.32","276.09","243.88","141.66","231.65","296.34","114.72","956.40","347.23","413.21","155.53","88.53","272.77","726.36","40.48","18.81","31.99","88.26","10.51","32.70","42.12","15.15","26.59","42.78","12.25","71.27","281.60","350.34","108.13","59.14","205.36","604.79"
"Bolivia (Plurinational State of)","","","","","","","","","","","","","","","2973.47","3799.69","5012.23","","","","","","","","","","","","","","","","87.80","255.87","460.80",""
"© FRA 2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-10-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
