Entity,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Afghanistan,12445,77816,62534,596684,695380,185130,279323,390935,239638,135354,132170,165025,320375
Africa,502490071,5399733276,5619312532,5693254561,6258188465,5779614571,4777262914,5839046109,6484023298,6410550377,5773280409,6264735032,5267782259
Akrotiri and Dhekelia,0,0,742,0,0,5643,1365,0,14242,0,0,0,228
Aland Islands,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,5448,206645,985757,1107891,791683,861555,142347,2160056,316418,379463,103112,218547,3607731
Algeria,29106,1784041,1985828,3981560,5789373,3620252,723119,6490339,3314126,2749347,5980090,2280668,12940666
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,618181,838502091,757248376,687008731,747212560,941091463,696783454,845012726,896636708,895182337,770910819,877364629,834524122
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,3828,0,5890,0,0,9935,0,1800,0,7872,10902,0
Argentina,2925123,72158542,176096676,73423738,212633195,63429994,90533990,93954508,67686000,70809431,59518272,96382983,91860190
Armenia,1038,131741,334779,101916,130380,367854,363898,484939,282870,174329,271093,321298,352905
Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0
Asia,76032107,1270533819,896614532,1366417773,1366438920,1444556151,817730267,1151515558,1426206473,1538768843,1598524613,1313585416,1420634254
Australia,17786538,939522922,657224160,506020700,455498716,731603845,882869291,721685250,491256141,769633106,729985688,614843130,1181980850
Austria,1816,12680,56004,13569,0,46603,11378,29730,0,18467,40533,9991,17148
Azerbaijan,18279,467476,1445159,2071516,1612618,4303854,1829426,2393755,2377101,5374996,1478271,1998242,1745827
Bahamas,35872,635139,454120,978149,1362389,588194,376408,2790074,1263020,917798,618068,2391808,864230
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,79766,11152059,6076132,11208434,11476604,11173055,9189606,5866344,7289752,6190753,13839044,13228007,12956549
Barbados,0,0,0,0,0,0,7106,0,6588,0,8153,0,0
Belarus,1701,187886,974276,679995,2823123,3446355,732878,991874,641893,5345880,3049835,638821,1790687
Belgium,0,20163,23074,39084,4826,32296,7552,0,7568,6660,29162,12108,0
Belize,106680,6723436,3032759,2888087,4373736,5965562,2330476,4185215,3600177,5381971,3478478,7243818,2385674
Benin,3492986,19505913,29037941,33650602,31090777,30179248,16650857,34897026,32049510,26840039,26729227,31599328,15430366
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,24226,653970,264462,676404,182679,357160,211762,806699,584015,1028567,1076961,600830,1441157
Bolivia,3373558,110104991,145178836,129538039,120381155,164180138,83111417,89403186,128848273,56693288,37788508,52029825,69364079
Bonaire Sint Eustatius and Saba,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,64372,123008,3894190,1782559,4709181,1843400,146255,3693873,570007,792063,451566,290180,5733041
Botswana,514186,87289683,62363326,81687943,20284239,20160544,23900688,37455201,15161754,21958707,16097754,32500212,35823596
Bouvet Island,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,14995311,438787011,585074930,525990801,655820795,618240657,352917390,602088779,564387879,602406106,478842510,313123961,658958622
British Indian Ocean Territory,0,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands,0,0,0,0,4482,0,7736,278,0,0,0,0,0
Brunei,2907,18153,35417,32091,86427,53620,5790,0,223898,135390,44310,18960,24053
Bulgaria,31780,591328,1288550,749050,997849,3684319,1690374,2540417,2360595,1429108,1208119,1730730,4397793
Burkina Faso,8419687,24324193,18274008,23876098,19561236,18392995,10642666,25954830,23827952,22376710,22949508,28879296,12577632
Burundi,0,816816,924598,833559,1345658,1138431,719426,1061000,2052407,2474887,1164002,2062171,1221828
Cambodia,22501823,83413362,87110755,150702941,189136253,142576929,58667123,116002597,203238596,190938515,157089162,184914414,86831065
Cameroon,19968240,134064600,117457643,145982559,152778031,109040277,67598369,128364269,119030671,97623188,88635652,89698837,63502180
