Year,Brazil,Canada,Russia,United Kingdom,United States
2012,658958622,51337438,729956737,548680,148110320
2013,313123961,93974314,289547485,407288,122596609
2014,478842510,101966203,599235817,183426,130781522
2015,602406106,103874477,401664667,345191,173367369
2016,564387879,39913332,407837919,174250,161934408
2017,602088779,87148359,321206537,505662,183989853
2018,352917390,64550097,426371595,522879,157827113
2019,618240657,54746401,463457464,1053420,134260043
2020,655820795,12910754,453747069,495233,168884814
2021,525990801,107065865,468897590,193585,183165563
2022,585074930,37116363,322144813,902054,195535530
2023,438787011,389543639,304596664,328450,118646239
2024,14995311,316470,2015106,2006,10117568
