Country,Other,Croplands,Forests,Savannahs,Grasslands,CO2,AQI
Afghanistan,6246.56633,22560.62414,0,1953.395995,54544.77356,3506128.816,10942.49996
Africa,8246178,123174003,227234496,1277115796,1108972476,34421285300,114173276.5
Akrotiri and Dhekelia,0,0,0,0,0,20563.1601,61.67
Aland Islands,21.466,0,0,0,0,9807.16,80.08
Albania,1180.623985,8822.469,4486.367995,38295.10653,64676.6641,4126165.797,18452.84996
Algeria,54480.3834,148436.48,171791.3443,97369.1871,604672.037,92626013.8,283366.142
American Samoa,0,0,0,0,0,0,0
Andorra,0,0,0,0,0,4468.55,13.40000006
Angola,192291.274,1653966.56,25490824.2,181486696,181440697,5418173060,17367293.85
Antigua and Barbuda,0,0,0,0,0,199196.5689,1109.52
Argentina,1279601.829,3017306.65,1128203.1,13838551.04,18615801.2,972930150,3770184.64
Armenia,622.510995,35397.21704,2232.451,837.170996,107694.26,1419899.867,6887.85003
Asia,2938441.66,104785417,52360617.5,27146251.5,103318075.2,9786317510,49478079.6
Australia,595205.591,5116818.79,7424635.47,47500358.9,371038790,5963540560,20344015.2
Austria,85.863,193.193,1245.02297,236.125,1116.227,392035.43,1824.55
Azerbaijan,2769.102015,1034633.346,4185.8451,9509.387,616564.106,5822395.81,30322.6301
Bahamas,5817.25508,0,58795.0107,55167.28,65191.84302,9730550.05,34200.88993
Bahrain,0,0,0,0,0,136112.901,408.35
Bangladesh,1974.860989,23054.3468,196112.1638,1652.87404,334996.323,60113665.9,336849.192
Barbados,0,0,0,0,0,0,0
Belarus,2382.71303,90371.306,38273.6423,100567.5948,157967.3224,8525953.94,32315.0296
Belgium,42.932,1137.691,64.398,300.522,0,5111037.86,15099.01997
Belize,5602.599065,4293.178075,113425.6449,48813.3971,177887.65,25686257.2,141015.3794
Benin,8500.4852,5693327.49,60297.6215,2555919.356,8823179.95,155795673.3,474234.21
Bermuda,0,0,0,0,0,0,0
Bhutan,64.398,300.522995,38359.51047,2897.894005,32263.2014,3207329.59,18140.60986
Bolivia,189672.4134,806923.43,8828310.29,15743647,9184214.13,1340959676,5452209.52
Bonaire Sint Eustatius and Saba,0,0,0,0,0,35322.38,183.510001
Bosnia and Herzegovina,64.398,52484.04563,10861.72912,43854.76964,139292.0157,4879415.07,21479.84994
Botswana,247801.9833,1030.36401,665.44199,125382.124,44561380.9,385324380,1165739.53
Brazil,1034504.595,12347273.94,18656822.52,88380021.5,64704843.3,6757286120,30906767.2
British Virgin Islands,21.466,0,21.466,0,0,937723.87,5223.12003
Brunei,150.262,0,665.441,128.795,472.248985,4269221.2,23427.7599
Bulgaria,2339.787005,662200.571,4443.44097,12686.33798,57957.8546,5608862.05,33895.8799
Burkina Faso,3820.932015,1665236.15,107.329995,107.329995,18740303.3,156581298,472132.902
Burundi,321.989985,41557.9278,2747.638095,231037.135,27390.46049,8076196.42,28840.6798
Cambodia,69485.0332,2228629.317,7944238.48,13174268.16,4208340.4,392190715,1789018.82
Cameroon,41343.2753,7481734.94,1721970.405,14483127.95,4711350.01,486989242,1945432
Canada,436680.1726,655782.253,2871768.135,7062678.264,12669562.69,4358474010,34768379.86
Cape Verde,0,0,0,0,0,7573479.74,22721.8999
Cayman Islands,0,0,21.466,0,0,0,0
Central African Republic,47675.7038,622338.447,39858359.3,125161891,27323044,2020106530,6383458.64
Chad,2099812.648,12363803.09,2392027.44,5695538.55,69106118.5,641404202,1932375.976
Chile,33808.7551,164471.489,514128.9983,294597.568,481672.609,147554828.5,619178.637
China,444966.007,29668297.44,919168.477,1614941.605,2658161.324,789363342,4181293.7
Colombia,38402.475,98356.6144,703350.614,13198395.79,6175815.96,438989260,1972533.856
Comoros,42.932,21.466,558.112995,5581.12584,2189.51799,526036.7795,2930.08002
Congo,155820.7403,87645.1629,782495.25,15404035.2,22400019,305799262,1149212.58
Costa Rica,558.11599,144980.469,81892.2834,71052.0227,168893.4455,11865747.26,60578.96
Cote d'Ivoire,16550.19716,69527.9558,52097.67096,17013889.3,3090247.74,301930315,1030873.482
Croatia,751.304,4701.0252,6654.41794,24986.28017,84274.99494,3987499.374,15337.26005
Cuba,21744.94407,860888.621,67660.43233,460013.577,202680.754,40263592.9,215494.198
Cyprus,0,686.908,0,837.16896,11870.62587,940516.748,2821.81
Czechia,472.25,15433.963,2060.724,729.841994,708.373,1339385.73,4375.73
Democratic Republic of Congo,570369.61,221034.06,53310223.5,232879416,79063640,7252529790,26080716.3
Denmark,21.466,5216.20589,0,0,42.932,997617.136,4647.78001
Djibouti,1781.668,0,0,0,0,1455441.384,4366.660004
Dominica,0,0,0,0,0,55224.9897,307.6099967
Dominican Republic,300.52299,43017.60574,11892.09807,40999.81336,43103.4682,20080361.84,97969.33
East Timor,0,558.11301,11312.5167,42695.61302,15519.8258,5887663.74,20635.69
Ecuador,35762.14103,60598.147,23011.4228,245955.923,99086.4529,103797795,483938.554
Egypt,88031.5262,352812.9907,0,2812.02989,86700.64205,33949718.42,106201.2206
El Salvador,364.922,58387.169,22775.29299,38853.2271,34667.38594,12584345.54,44448.89
Equatorial Guinea,21.466,0,558.114,0,0,1947160.14,10689.03005
